segundo,dado1,dado2
+522.2400E-06,+2.0317585171E+00,-15.5163701771E+00
+522.8800E-06,+2.0317585170E+00,-15.5163701773E+00
+523.5200E-06,+1.8789947033E+00,-15.5163701773E+00
+524.1600E-06,+1.8789947033E+00,-15.5163701773E+00
+524.8000E-06,+1.7262308896E+00,-15.5163701773E+00
+525.4400E-06,+1.7262308896E+00,-15.5163701773E+00
+526.0800E-06,+1.7262308895E+00,-16.1435058711E+00
+526.7200E-06,+1.4207032621E+00,-15.5163701773E+00
+527.3600E-06,+1.5734670758E+00,-15.5163701773E+00
+528.0000E-06,+1.4207032621E+00,-15.5163701773E+00
+528.6400E-06,+1.2679394484E+00,-15.5163701773E+00
+529.2800E-06,+1.2679394483E+00,-15.5163701773E+00
+529.9200E-06,+1.1151756346E+00,-15.5163701773E+00
+530.5600E-06,+1.1151756346E+00,-15.5163701773E+00
+531.2000E-06,+809.6480072E-03,-15.5163701773E+00
+531.8400E-06,+809.6480072E-03,-15.5163701773E+00
+532.4800E-06,+809.6480071E-03,-15.5163701773E+00
+533.1200E-06,+656.8841934E-03,-14.8892344834E+00
+533.7600E-06,+656.8841934E-03,-15.5163701773E+00
+534.4000E-06,+351.3565660E-03,-15.5163701773E+00
+535.0400E-06,+351.3565659E-03,-15.5163701773E+00
+535.6800E-06,+45.8289385E-03,-15.5163701773E+00
+536.3200E-06,+198.5927522E-03,-15.5163701773E+00
+536.9600E-06,+45.8289384E-03,-15.5163701773E+00
+537.6000E-06,-106.9348752E-03,-15.5163701773E+00
+538.2400E-06,-106.9348753E-03,-15.5163701773E+00
+538.8800E-06,-412.4625027E-03,-15.5163701773E+00
+539.5200E-06,-412.4625027E-03,-15.5163701773E+00
+540.1600E-06,-565.2263165E-03,-15.5163701773E+00
+540.8000E-06,-717.9901302E-03,-15.5163701773E+00
+541.4400E-06,-870.7539439E-03,-15.5163701773E+00
+542.0800E-06,-870.7539439E-03,-15.5163701773E+00
+542.7200E-06,-1.0235177576E+00,-15.5163701773E+00
+543.3600E-06,-1.1762815714E+00,-15.5163701774E+00
+544.0000E-06,-1.1762815714E+00,-15.5163701773E+00
+544.6400E-06,-1.3290453851E+00,-15.5163701773E+00
+545.2800E-06,-1.3290453852E+00,-15.5163701773E+00
+545.9200E-06,-1.4818091989E+00,-15.5163701773E+00
+546.5600E-06,-1.4818091989E+00,-15.5163701773E+00
+547.2000E-06,-1.6345730126E+00,-14.8892344834E+00
+547.8400E-06,-1.7873368263E+00,-15.5163701773E+00
+548.4800E-06,-1.7873368263E+00,-15.5163701773E+00
+549.1200E-06,-1.9401006401E+00,-15.5163701773E+00
+549.7600E-06,-2.0928644538E+00,-15.5163701773E+00
+550.4000E-06,-1.9401006401E+00,-15.5163701773E+00
+551.0400E-06,-2.0928644538E+00,-15.5163701773E+00
+551.6800E-06,-2.2456282675E+00,-15.5163701773E+00
+552.3200E-06,-2.2456282675E+00,-15.5163701773E+00
+552.9600E-06,-2.3983920813E+00,-15.5163701773E+00
+553.6000E-06,-2.3983920813E+00,-15.5163701773E+00
+554.2400E-06,-2.5511558950E+00,-15.5163701773E+00
+554.8800E-06,-2.5511558950E+00,-15.5163701773E+00
+555.5200E-06,-2.5511558950E+00,-15.5163701773E+00
+556.1600E-06,-2.5511558950E+00,-15.5163701773E+00
+556.8000E-06,-2.5511558950E+00,-15.5163701773E+00
+557.4400E-06,-2.7039197087E+00,-16.1435058711E+00
+558.0800E-06,-2.7039197087E+00,-15.5163701773E+00
+558.7200E-06,-2.7039197088E+00,-15.5163701773E+00
+559.3600E-06,-2.7039197087E+00,-15.5163701773E+00
+560.0000E-06,-2.8566835224E+00,-15.5163701773E+00
+560.6400E-06,-2.8566835225E+00,-15.5163701773E+00
+561.2800E-06,-2.8566835224E+00,-15.5163701773E+00
+561.9200E-06,-2.8566835225E+00,-15.5163701773E+00
+562.5600E-06,-2.8566835225E+00,-15.5163701773E+00
+563.2000E-06,-2.8566835225E+00,-15.5163701773E+00
+563.8400E-06,-2.8566835225E+00,-15.5163701773E+00
+564.4800E-06,-2.8566835224E+00,-15.5163701773E+00
+565.1200E-06,-2.7039197087E+00,-15.5163701773E+00
+565.7600E-06,-2.7039197087E+00,-15.5163701771E+00
+566.4000E-06,-2.7039197087E+00,-15.5163701773E+00
+567.0400E-06,-2.7039197087E+00,-15.5163701773E+00
+567.6800E-06,-2.7039197087E+00,-15.5163701773E+00
+568.3200E-06,-2.5511558950E+00,-15.5163701773E+00
+568.9600E-06,-2.5511558950E+00,-15.5163701773E+00
+569.6000E-06,-2.5511558950E+00,-16.1435058711E+00
+570.2400E-06,-2.3983920813E+00,-14.8892344834E+00
+570.8800E-06,-2.3983920812E+00,-15.5163701773E+00
+571.5200E-06,-2.2456282675E+00,-15.5163701773E+00
+572.1600E-06,-2.2456282675E+00,-15.5163701773E+00
+572.8000E-06,-2.0928644538E+00,-14.8892344834E+00
+573.4400E-06,-2.0928644538E+00,-15.5163701773E+00
+574.0800E-06,-1.9401006401E+00,-15.5163701773E+00
+574.7200E-06,-1.7873368264E+00,-15.5163701773E+00
+575.3600E-06,-1.7873368263E+00,-15.5163701773E+00
+576.0000E-06,-1.7873368263E+00,-15.5163701773E+00
+576.6400E-06,-1.7873368263E+00,-15.5163701773E+00
+577.2800E-06,-1.4818091989E+00,-15.5163701774E+00
+577.9200E-06,-1.6345730126E+00,-15.5163701773E+00
+578.5600E-06,-1.4818091989E+00,-15.5163701773E+00
+579.2000E-06,-1.3290453851E+00,-15.5163701773E+00
+579.8400E-06,-1.3290453851E+00,-15.5163701773E+00
+580.4800E-06,-1.0235177577E+00,-15.5163701773E+00
+581.1200E-06,-1.0235177577E+00,-14.8892344834E+00
+581.7600E-06,-870.7539439E-03,-15.5163701773E+00
+582.4000E-06,-717.9901302E-03,-15.5163701773E+00
+583.0400E-06,-870.7539439E-03,-15.5163701773E+00
+583.6800E-06,-565.2263165E-03,-15.5163701773E+00
+584.3200E-06,-412.4625028E-03,-14.8892344834E+00
+584.9600E-06,-412.4625027E-03,-15.5163701773E+00
+585.6000E-06,-259.6986890E-03,-15.5163701773E+00
+586.2400E-06,-259.6986889E-03,-15.5163701773E+00
+586.8800E-06,+45.8289385E-03,-15.5163701773E+00
+587.5200E-06,+45.8289384E-03,-15.5163701773E+00
+588.1600E-06,+198.5927522E-03,-15.5163701773E+00
+588.8000E-06,+198.5927522E-03,-15.5163701771E+00
+589.4400E-06,+198.5927523E-03,-15.5163701773E+00
+590.0800E-06,+504.1203797E-03,-15.5163701773E+00
+590.7200E-06,+504.1203797E-03,-15.5163701773E+00
+591.3600E-06,+656.8841934E-03,-15.5163701773E+00
+592.0000E-06,+656.8841934E-03,-15.5163701773E+00
+592.6400E-06,+809.6480072E-03,-15.5163701773E+00
+593.2800E-06,+962.4118208E-03,-15.5163701773E+00
+593.9200E-06,+962.4118209E-03,-15.5163701773E+00
+594.5600E-06,+1.1151756346E+00,-15.5163701773E+00
+595.2000E-06,+1.1151756347E+00,-15.5163701773E+00
+595.8400E-06,+1.2679394484E+00,-15.5163701773E+00
+596.4800E-06,+1.4207032621E+00,-15.5163701773E+00
+597.1200E-06,+1.5734670758E+00,-15.5163701773E+00
+597.7600E-06,+1.5734670759E+00,-15.5163701773E+00
+598.4000E-06,+1.7262308895E+00,-15.5163701773E+00
+599.0400E-06,+1.7262308896E+00,-15.5163701773E+00
+599.6800E-06,+1.7262308896E+00,-15.5163701773E+00
+600.3200E-06,+1.8789947033E+00,-15.5163701773E+00
+600.9600E-06,+2.0317585170E+00,-15.5163701773E+00
+601.6000E-06,+2.0317585170E+00,-15.5163701773E+00
+602.2400E-06,+2.0317585170E+00,-15.5163701773E+00
+602.8800E-06,+2.0317585170E+00,-15.5163701773E+00
+603.5200E-06,+2.3372861445E+00,-15.5163701773E+00
+604.1600E-06,+2.1845223308E+00,-15.5163701773E+00
+604.8000E-06,+2.1845223308E+00,-15.5163701773E+00
+605.4400E-06,+2.3372861445E+00,-15.5163701773E+00
+606.0800E-06,+2.3372861445E+00,-15.5163701773E+00
+606.7200E-06,+2.4900499582E+00,-15.5163701773E+00
+607.3600E-06,+2.4900499582E+00,-15.5163701773E+00
+608.0000E-06,+2.4900499582E+00,-15.5163701773E+00
+608.6400E-06,+2.4900499583E+00,-15.5163701773E+00
+609.2800E-06,+2.4900499582E+00,-15.5163701773E+00
+609.9200E-06,+2.4900499583E+00,-15.5163701773E+00
+610.5600E-06,+2.4900499583E+00,-15.5163701773E+00
+611.2000E-06,+2.6428137720E+00,-15.5163701773E+00
+611.8400E-06,+2.4900499583E+00,-15.5163701773E+00
+612.4800E-06,+2.6428137720E+00,-14.8892344834E+00
+613.1200E-06,+2.4900499582E+00,-15.5163701773E+00
+613.7600E-06,+2.4900499582E+00,-15.5163701773E+00
+614.4000E-06,+2.4900499582E+00,-15.5163701773E+00
+615.0400E-06,+2.4900499582E+00,-15.5163701773E+00
+615.6800E-06,+2.4900499582E+00,-15.5163701773E+00
+616.3200E-06,+2.4900499582E+00,-15.5163701774E+00
+616.9600E-06,+2.3372861445E+00,-15.5163701773E+00
+617.6000E-06,+2.3372861445E+00,-15.5163701773E+00
+618.2400E-06,+2.3372861445E+00,-15.5163701773E+00
+618.8800E-06,+2.3372861445E+00,-15.5163701773E+00
+619.5200E-06,+2.1845223308E+00,-15.5163701773E+00
+620.1600E-06,+2.1845223308E+00,-15.5163701773E+00
+620.8000E-06,+2.0317585170E+00,-15.5163701773E+00
+621.4400E-06,+2.0317585170E+00,-15.5163701773E+00
+622.0800E-06,+2.0317585170E+00,-15.5163701773E+00
+622.7200E-06,+1.8789947033E+00,-15.5163701774E+00
+623.3600E-06,+1.8789947033E+00,-15.5163701773E+00
+624.0000E-06,+1.7262308896E+00,-15.5163701773E+00
+624.6400E-06,+1.7262308895E+00,-15.5163701773E+00
+625.2800E-06,+1.5734670758E+00,-15.5163701773E+00
+625.9200E-06,+1.4207032621E+00,-15.5163701773E+00
+626.5600E-06,+1.4207032621E+00,-15.5163701773E+00
+627.2000E-06,+1.2679394484E+00,-15.5163701773E+00
+627.8400E-06,+1.2679394484E+00,-15.5163701773E+00
+628.4800E-06,+1.1151756346E+00,-15.5163701773E+00
+629.1200E-06,+962.4118209E-03,-15.5163701773E+00
+629.7600E-06,+809.6480072E-03,-15.5163701773E+00
+630.4000E-06,+809.6480071E-03,-15.5163701773E+00
+631.0400E-06,+656.8841934E-03,-15.5163701773E+00
+631.6800E-06,+656.8841934E-03,-15.5163701773E+00
+632.3200E-06,+504.1203797E-03,-15.5163701773E+00
+632.9600E-06,+351.3565660E-03,-15.5163701773E+00
+633.6000E-06,+198.5927522E-03,-15.5163701771E+00
+634.2400E-06,+198.5927522E-03,-15.5163701773E+00
+634.8800E-06,+45.8289385E-03,-15.5163701773E+00
+635.5200E-06,-106.9348752E-03,-15.5163701773E+00
+636.1600E-06,-106.9348752E-03,-15.5163701773E+00
+636.8000E-06,-259.6986890E-03,-15.5163701773E+00
+637.4400E-06,-412.4625027E-03,-15.5163701773E+00
+638.0800E-06,-412.4625027E-03,-15.5163701773E+00
+638.7200E-06,-565.2263165E-03,-15.5163701773E+00
+639.3600E-06,-565.2263165E-03,-15.5163701773E+00
